nohup: ignoring input
 INFO  Accepting connections at http://localhost:8093
 HTTP  2/23/2026 3:09:45 PM ::1 GET /
 HTTP  2/23/2026 3:09:45 PM ::1 Returned 200 in 14 ms
 HTTP  2/23/2026 3:09:45 PM ::1 GET /assets/css/styles.css
 HTTP  2/23/2026 3:09:45 PM ::1 GET /assets/js/snippets.js
 HTTP  2/23/2026 3:09:45 PM ::1 GET /assets/js/visualizations.js
 HTTP  2/23/2026 3:09:45 PM ::1 GET /assets/js/script.js
 HTTP  2/23/2026 3:09:45 PM ::1 Returned 200 in 6 ms
 HTTP  2/23/2026 3:09:45 PM ::1 Returned 200 in 6 ms
 HTTP  2/23/2026 3:09:45 PM ::1 Returned 200 in 5 ms
 HTTP  2/23/2026 3:09:45 PM ::1 Returned 200 in 5 ms
 HTTP  2/23/2026 3:09:45 PM ::1 GET /favicon.ico
 HTTP  2/23/2026 3:09:45 PM ::1 Returned 404 in 1 ms
